DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31,31.6,31.3,31.5,-0.2,0.63%,"349,300",-
03-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31,31.8,31.55,31.3,0.25,0.80%,"905,000",-
06-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.05,31.7,31.5,31.55,-0.05,0.16%,"1,901,800",-
07-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.3,31.7,31.55,31.5,0.05,0.16%,"7,754,500",-
08-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.2,32.5,31.85,31.55,0.3,0.95%,"3,474,800",-
09-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.7,33.5,32.8,31.85,0.95,2.98%,"4,160,400",-
10-Jan-20,SCOM,Safaricom Plc,23.5,33.5,32.5,33.4,32.8,32.8,-,-,"4,937,700",-
13-Jan-20,SCOM,Safaricom Plc,23.5,33.5,32.5,33,32.7,32.8,-0.1,0.30%,"10,670,300",-
14-Jan-20,SCOM,Safaricom Plc,23.5,33.5,32,32.85,32.75,32.7,0.05,0.15%,"5,840,900",-
15-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.5,32.85,32,32.75,-0.75,2.29%,"8,751,100",-
16-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.5,32.3,32,32,-,-,"12,749,500",-
17-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31,32,31.5,32,-0.5,1.56%,"8,722,400",-
20-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.2,32.3,31.55,31.5,0.05,0.16%,"2,710,900",-
21-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.3,32.3,31.55,31.55,-,-,"1,298,900",-
22-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.3,31.75,31.5,31.55,-0.05,0.16%,"8,157,000",-
23-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.3,32,31.55,31.5,0.05,0.16%,"11,800,200",-
24-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.2,32,31.3,31.55,-0.25,0.79%,"7,263,900",-
27-Jan-20,SCOM,Safaricom Plc,23.5,33.5,30,31.5,30.7,31.3,-0.6,1.92%,"3,957,800",-
28-Jan-20,SCOM,Safaricom Plc,23.5,33.5,29.75,30.5,29.95,30.7,-0.75,2.44%,"1,572,800",-
29-Jan-20,SCOM,Safaricom Plc,23.5,33.5,29.9,30.5,30.05,29.95,0.1,0.33%,"13,109,900",-
30-Jan-20,SCOM,Safaricom Plc,23.5,33.5,30.05,30.8,30.6,30.05,0.55,1.83%,"4,690,800",-
31-Jan-20,SCOM,Safaricom Plc,23.5,33.5,30.15,30.7,30.45,30.6,-0.15,0.49%,"3,359,100",-
03-Feb-20,SCOM,Safaricom Plc,23.5,33.5,30.3,31,30.8,30.45,0.35,1.15%,"1,097,900",-
04-Feb-20,SCOM,Safaricom Plc,23.5,33.5,30.8,31.5,30.95,30.8,0.15,0.49%,"10,786,500",-
05-Feb-20,SCOM,Safaricom Plc,23.5,33.5,31,32.1,31.55,30.95,0.6,1.94%,"3,136,700",-
06-Feb-20,SCOM,Safaricom Plc,23.5,33.5,31.05,33.3,32.8,31.55,1.25,3.96%,"9,321,100",-
07-Feb-20,SCOM,Safaricom Plc,23.5,33.5,32.8,33,32.9,32.8,0.1,0.30%,"18,309,100",-
10-Feb-20,SCOM,Safaricom Plc,23.5,33.5,31.55,32.85,32.65,32.9,-0.25,0.76%,"2,363,900",-
12-Feb-20,SCOM,Safaricom Plc,23.5,33.5,31.75,32.7,32.5,32.65,-0.15,0.46%,"12,104,100",-
13-Feb-20,SCOM,Safaricom Plc,23.5,33.5,31.05,32.05,31.5,32.5,-1,3.08%,"13,315,500",-
14-Feb-20,SCOM,Safaricom Plc,23.5,33.5,30.75,31.5,31,31.5,-0.5,1.59%,"16,785,200",-
17-Feb-20,SCOM,Safaricom Plc,23.5,33.5,30.85,31.5,30.9,31,-0.1,0.32%,"5,945,600",-
18-Feb-20,SCOM,Safaricom Plc,23.5,33.5,30,31,30.5,30.9,-0.4,1.29%,"3,515,900",-
19-Feb-20,SCOM,Safaricom Plc,23.5,33.5,29.8,30.5,29.95,30.5,-0.55,1.80%,"13,930,100",-
20-Feb-20,SCOM,Safaricom Plc,23.5,33.5,29.9,30.2,29.95,29.95,-,-,"14,572,700",-
21-Feb-20,SCOM,Safaricom Plc,23.5,33.5,29.85,30.1,29.9,29.95,-0.05,0.17%,"10,657,300",-
24-Feb-20,SCOM,Safaricom Plc,23.5,33.5,29,30,29.9,29.9,-,-,"4,927,000",-
25-Feb-20,SCOM,Safaricom Plc,23.5,33.5,29.4,29.8,29.75,29.9,-0.15,0.50%,"7,892,300",-
26-Feb-20,SCOM,Safaricom Plc,23.5,33.5,27.95,29.5,28.2,29.75,-1.55,5.21%,"5,608,400",-
27-Feb-20,SCOM,Safaricom Plc,23.5,33.5,28.05,29,28.1,28.2,-0.1,0.35%,"19,384,300",-
28-Feb-20,SCOM,Safaricom Plc,23.5,33.5,27.75,28.2,27.9,28.1,-0.2,0.71%,"13,289,800",-
